route_id,trip_id
LIME SATURDAY,[@124.0.94415201@][11][1496415327969]/16__LM1SA
RED SATURDAY,20RED037__R3SA
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/4__I1_NON_UI_SU_V1
TEAL,[@4.0.6079335@][1597347351575]/8__T3_NONUIMF_V1
BLUE,[@14.0.56288268@][3][1305742830052]/0__B2_MF
TEAL,[@4.0.6079335@][1597347351575]/66__T3_NONUIMF_V1
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/7__GR4SA
TEAL,[@7.0.41893871@][3][1243541488843]/123__T3_UIMF
GREEN,[@4.0.5960707@][1597257255963]/29__GN7_MF_V1
GREEN,[@4.0.5960707@][1597257255963]/70__GNX1_NOSCHMF_V1
SILVER LIMITED EVENING SATURDAY,[@124.0.92350475@][1484580809807]/44__SV1_NON_UI_SA
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/268__SV1UISA
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/45__GN1SA_V1
GREY EVENING,BA4-9__BZ1_NOSCHMF
GOLD,[@7.0.41203042@][3][1246636917359]/5__G2_MF
GREENHOPPER EVENING,[@14.0.50384734@][1270492238828]/31__R3_MF
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/31__SV1UISA_V1
LIME EVENING SATURDAY,[@124.0.94417146@][11][1496417951578]/5__LM1SA
TEAL,[@14.0.51708725@][4][1277756770140]/0__T4_UIMF
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/3__GN4SA_V1
YELLOWHOPPER,[@15.0.63189099@][1][1334167904665]/10__Y4_MF
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/24__T1_NONUIMF
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/20__SV1UISU
TEAL,[@7.0.41893871@][3][1243541396687]/100__T3_NONUIMF
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/68__SV1UISU
LIME SATURDAY,[@124.0.94415201@][12][1496416303828]/31__LM2SA_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/0__T1_NONUI_SU_V1
SILVER LIMITED SUNDAY,[@4.0.6323452@][1597517174427]/41__SV1_NONUISU_V1
YELLOW SATURDAY,[@15.0.63192124@][1][1338414280664]/16__Y2_NON_UI_SA
GREY,[@2.0.80545657@][32][1425489606906]/34__GR1_NOSCHMF
GREY,[@2.0.80545657@][32][1425489662101]/44__GR3_UIMF
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/93__I1UI_SU_V1
ILLINI LIMITED,[@7.0.41202961@][1][1238522030312]/23__I1_NONUIMF
YELLOW SATURDAY,[@15.0.63192124@][1][1338468644723]/0__Y4SA
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/50__Y2_MF_V1
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/8__SV2UISA
ILLINI LIMITED,[@4.0.6331833@][1597517469643]/3__I1_NONUIMF_V1
RED SATURDAY,[@4.0.5909127@][1597169253406]/17__R3SA_V1
YELLOW,[@15.0.63189004@][2][1340828987634]/13__Y1_NON_UI_MF
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/42__GN4_SU
NAVY,[@124.0.103534744@][31][1510337405478]/13__N1_MF
SILVER,[@12.0.42199629@][4][1246896833000]/93__SV4_NONUIMF_NOSCH
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/4__Y1SA_V1
TEAL,[@14.0.51708725@][4][1275506226500]/27__T3_UIMF
5W GREEN EXPRESS 2,[@36.0.28511544@][4][1175211289441]/14__SRE1_SHOW
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/61__Y5_MF_V1
YELLOW,[@14.0.56288722@][1][1303750444036]/11__Y1UIMF
TEAL,[@7.0.41893871@][3][1243541396687]/103__T1_NONUIMF
ILLINI LIMITED EVENING,[@4.0.6333459@][1597517524012]/15__I1_NONUIMF_V1
YELLOW,[@14.0.56288722@][2][1303763673456]/39__Y1UIMF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/175__I1NONUISA
YELLOW SATURDAY,[@15.0.63192124@][2][1338469240094]/20__Y2_NON_UI_SA
GREEN SATURDAY,GN4SAT012__GN1SA
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/32__SV1UISU_V1
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/25__Y5_NONUI_SU
LAVENDER SUNDAY,[@15.0.71205318@][1381241976567]/1__L2SU
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/28__Y3SU_V1
BROWN,[@6.0.626596@][1601838465133]/60__BB1_MF_V1
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/30__SV1UISU_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/19__Y4_MF_V1
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/168__I1NONUISA
RED,[@14.0.56288404@][2][1302875818198]/0__R6_UIMF
SILVER,[@12.0.42199629@][4][1246896833000]/84__SV4_UI_NOSCH
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/87__SV1UISU
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/47__SV2UISA_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/19__T1_NONUIMF_V1
YELLOW LATE NIGHT SUNDAY,[@4.0.5890225@][1597168976725]/7__Y2UISU_V1
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/164__I1NONUISA
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/13__GR2SA
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/69__Y4SU
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/12__I1UISA_V1
ORANGE,[@2.0.86175868@][1458585713139]/63__O3_MF
SILVER,[@12.0.42199629@][3][1246896590515]/36__SV4_UI_NOSCH
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/140__T2UISA
RED,[@14.0.56288404@][2][1305666605761]/1__GN8_MF
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/14__GN2UISA
GOLDHOPPER,[@7.0.41987615@][3][1246633149015]/50__G6_MF
TEAL,[@7.0.41893871@][4][1243540851671]/12__T1_UIMF
GOLD,[@15.0.60391723@][4][1324305336927]/0__G3_MF
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/56__T1UISU
YELLOW SATURDAY,[@15.0.63192124@][2][1338469240094]/10__Y2_NON_UI_SA
LIME SUNDAY,[@124.0.94415718@][12][1496267134824]/25__LM2SU
GREEN ALT,[@2.0.84887452@][1455575490653]/90__GREY_SHOW_SCH
GREEN LATE NIGHT SATURDAY,[@4.0.6007125@][1597257941128]/12__GN2UISA_V1
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/51__SV1UISU_V1
RED,[@4.0.5898288@][1597169152898]/47__R3_MF_V1
SILVER,[@12.0.42199629@][4][1246896833000]/88__SV2_NONUIMF
SILVER LIMITED SATURDAY,[@15.0.67916770@][1][1363722440092]/72__SV1_NON_UI_SA
LAVENDER,[@15.0.63192662@][2][1334590281857]/9__Y3UIMF_V1
GREY,[@2.0.80545657@][31][1425487442569]/12__GR3_UIMF_V1
GREEN,[@14.0.51573013@][3][1277817093093]/0__GN9_MF
GREEN,[@14.0.56288551@][4][1310478704916]/0__GN4_MF
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/16__GN3UISA
LAVENDER,[@15.0.63192662@][2][1334589837818]/6__L2_NOSCHMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/0__T2UISA
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/4__T2UISA
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/44__Y4_MF_V1
SILVER,[@4.0.6090318@][1597351255773]/97__SV2_UIMF_V1
TEAL,[@4.0.6079335@][1597347351575]/70__T1_NONUIMF_V1
GREY,[@2.0.80545657@][32][1425488265338]/22__GR3_NON_UI_MF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/171__I1UISA
SILVER,[@4.0.6090318@][1597351255773]/2__SV5_UIMF_V1
GREENHOPPER,[@7.0.41101146@][3][1237929928359]/5__GNX4_MF
GREEN,5GN564__GN5_MF
ILLINI EVENING,[@7.0.41950648@][1244056065453]/82__I5_UIMF
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/125__I6UISA_V1
LIME SATURDAY,[@124.0.94415201@][12][1496419999888]/1__LM2SA
BROWN,[@2.0.80548152@][12][1425572294334]/30__BB2_MF
YELLOW,[@14.0.56288722@][1][1303750444036]/10__Y7_NON_UI_MF
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/52__I1UI_SU
ILLINI EVENING,[@4.0.6329571@][1597517389214]/107__I2_UIMF_V1
RED SATURDAY,[@4.0.5909127@][1597169253406]/2__R1SA_V1
NAVY,[@124.0.103534744@][31][1510337405478]/20__N2_MF
TEAL,[@4.0.6079335@][1597347351575]/110__T2_UIMF_V1
TEAL LATE NIGHT SUNDAY,[@4.0.6088263@][1597348010901]/46__T1UISU_V1
RED,[@14.0.56288404@][2][1302789028390]/14__R3_MF
YELLOW EVENING SATURDAY,[@4.0.5885438@][1597168881799]/22__Y1SA_V1
BLUE,[@4.0.5955594@][1597257189746]/21__B1_MF_V1
YELLOW EVENING,[@4.0.5867728@][1597168420258]/4__Y8_MF_V1
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/95__GR1_SU
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/23__GR2_SU_V1
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/67__Y5UISU
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/3__Y1SA_V1
YELLOWHOPPER,[@15.0.63189099@][1][1334167904665]/6__Y4_MF
ILLINI,[@7.0.41200832@][1][1238430123625]/48__I2_UIMF
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/15__I1_NON_UI_SU_V1
YELLOWHOPPER,[@14.0.56289208@][2][1303755590388]/41__Y1UIMF
SILVER LIMITED EVENING SATURDAY,[@124.0.92350475@][1484580809807]/59__SV1_NON_UI_SA
ILLINI,[@7.0.41200832@][2][1238430887312]/167__I4_UIMF1
BLUE,[@14.0.56288268@][3][1302634831873]/9__B3_NOSCH
TEAL EVENING,[@4.0.6083631@][1597347546580]/21__T1_NONUIMF_V1
RED,[@14.0.56288404@][2][1303306853233]/2__R1_MF
SILVER,[@12.0.42199629@][3][1246896440906]/20__SV4_UI_NOSCH
YELLOW LATE NIGHT SUNDAY,[@4.0.5890225@][1597168976725]/22__Y2UISU_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/21__GN3_SU_V1
GREY,[@2.0.80545657@][32][1425489606906]/32__GR2_MF
RED SATURDAY,20RED018__R2SA
GREY EVENING SATURDAY,[@124.0.92319406@][1484577670364]/34__GR3_SA
BROWN,[@6.0.626596@][1601838465133]/50__BB2_MF_V1
GREENHOPPER EVENING,[@15.0.68512960@][3][1370013726286]/1__GN3_MF
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/143__SV2UISU
TEAL,[@7.0.41893871@][4][1243540851671]/28__T3_NONUIMF
BLUE,[@14.0.56288268@][3][1302632943295]/1__B1_MF
LAVENDER,[@15.0.63192662@][1][1334087990782]/10__L2_NOSCHMF
GREEN SATURDAY,[@7.0.41202550@][4][1248723584250]/3__GR3_SA
RED SATURDAY,[@4.0.5909127@][1597169253406]/27__R2SA_V1
GREEN,[@4.0.5960707@][1597257255963]/25__GN7_MF_V1
SILVER,[@4.0.6090318@][1597351255773]/43__SV4_UI_NOSCH_V1
SILVER,[@4.0.6090318@][1597351255773]/40__SV2_UIMF_V1
GREEN,[@15.0.66064718@][3][1356532933096]/0__GN1_MF
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/5__GN2UISA
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/56__Y2UISU
GOLDHOPPER,[@7.0.41987615@][4][1248903846671]/0__G3_MF
ILLINI LIMITED,[@4.0.6331833@][1597517469643]/12__I1_NONUIMF_V1
GREENHOPPER,[@7.0.41101146@][3][1237929928359]/9__GNX5_MF
RED,[@14.0.56288404@][1][1305666299457]/0__R1_MF
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/25__Y5UISU_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/24__GR3_UISU_V1
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/75__SV2UISA
GREY EVENING SATURDAY,[@124.0.92319406@][1484577670364]/37__GR1SA_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/20__GN2SU
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/33__SV2UISA_V1
GREENHOPPER,[@7.0.41101146@][4][1237929994234]/13__GNX5_MF
TEAL,[@14.0.51708725@][4][1275506123875]/17__T5_UIMF
GREEN EXPRESS,5GNX303__GNX3_MF
RED SATURDAY,[@4.0.5909127@][1597169253406]/5__R1SA_V1
SILVER EVENING SUNDAY,[@4.0.6318298@][1597516914744]/13__SV2UISU_V1
TEAL LATE NIGHT SATURDAY,[@124.0.92275054@][1484344751044]/63__T2UISA
GREEN EXPRESS,3R302__B1_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/151__T1UISA
YELLOW SATURDAY,[@15.0.63192124@][1][1338414280664]/19__Y5NON_UI_SA
GREENHOPPER,[@4.0.5978260@][1597257417676]/25__GN8_MF_V1
ORANGE,[@2.0.86175868@][1458585713139]/22__O3_MF
SILVER,[@4.0.6090318@][1597351255773]/88__SV2_NONUIMF_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/65__Y3_NON_UI_MF_V1
YELLOW,[@4.0.5891782@][1597169066281]/33__Y1_NON_UI_MF_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/13__T1_NONUIMF_V1
TEAL,[@7.0.41893871@][3][1243541396687]/76__T3_NONUIMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/17__T1NON_UI_SA
GREY EVENING,[@2.0.85634856@][31][1465240777577]/0__GR3_NON_UI_MF_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/33__I1_NON_UI_SU_V1
GOLD,[@7.0.41203042@][3][1246644878453]/9__G1_MF
ILLINI LIMITED,[@7.0.41202961@][2][1238522777281]/49__I1_NONUIMF
GREENHOPPER,[@7.0.41101146@][4][1237930216171]/34__GN7_MF
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/72__T2UISA_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/82__Y7_UIMF_V1
SILVER,[@4.0.6090318@][1597351255773]/93__SV3_UIMF_V1
YELLOW EVENING,[@15.0.63189138@][1][1338405367103]/7__Y6_NOSCHMF
SILVER EVENING SATURDAY,[@4.0.6326071@][1597517274838]/76__SV1UISA_V1
TEAL,[@4.0.6079335@][1597347351575]/72__T1_NONUIMF_V1
BLUE,[@14.0.56288268@][3][1302635502256]/22__B3_NOSCH
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/4__T2NON_UI_SA
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/65__T2UISA_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/20__I1UI_SU_V1
GREY SATURDAY,[@15.0.73008535@][32][1403817444144]/1__GR3_SA_V1
GREY,[@2.0.80545657@][31][1425487417760]/10__GR4_MF
YELLOW EVENING,[@15.0.63189138@][1][1338405367103]/4__Y8_MF
GOLDHOPPER,[@7.0.41987615@][4][1246632595015]/11__G1_MF
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/44__T1UISU
GREEN EXPRESS,1GNX100__Y4_MF
TEAL EVENING,[@7.0.41903462@][4][1243545628328]/4__T3_NONUIMF
TEAL,[@4.0.6079335@][1597347351575]/74__T3_NONUIMF_V1
YELLOW EVENING SATURDAY,[@124.0.92247832@][1484327725398]/35__Y2_NON_UI_SA
TEAL,[@7.0.41893871@][4][1243540906593]/36__T2_UIMF
LAVENDER SATURDAY,[@15.0.63188981@][1][1334072140757]/43__L1SA
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/27__SV1UISA_V1
GOLD,[@7.0.41203042@][3][1246639948750]/35__G5_MF
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/16__GR3_NON_UI_SU_V1
ILLINI EVENING,[@4.0.6329571@][1597517389214]/58__I4_UIMF_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/44__GN3UISA_V1
ILLINI LIMITED EVENING,[@7.0.41677083@][1][1238529565531]/10__I1_NONUIMF
GREEN EVENING,[@4.0.5972609@][1597257368084]/15__GNX4_MF_V1
TEAL,[@7.0.41893871@][3][1243541396687]/71__T1_UIMF
YELLOWHOPPER,[@14.0.56289208@][2][1303755590388]/40__Y7_UIMF
LIME SUNDAY,[@124.0.94415718@][11][1496266203663]/5__LM1SU
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/108__T2UISU
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/37__I6UISA_V1
BROWN,[@6.0.626596@][1601838465133]/21__BA2_NOSCHMF_V1
ORANGE,[@2.0.86175868@][1458585713139]/20__O3_MF
GREY SATURDAY,[@15.0.73008535@][32][1401898892813]/23__GR1SA_V1
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/48__T2UISA
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/26__T1_NONUI_SU_V1
GREEN SATURDAY,[@7.0.41202550@][4][1248701836140]/2__GR4SA
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/26__I1UISA_V1
GREY EVENING,3GN312__GR4_MF
GREENHOPPER EVENING,[@4.0.5987858@][1597257569370]/18__GN3_MF_V1
GREEN EVENING,[@4.0.5972609@][1597257368084]/1__GNX4_MF_V1
TEAL,[@7.0.41893871@][3][1243541488843]/116__T1_UIMF
ILLINI EVENING,[@4.0.6329571@][1597517389214]/49__I5_UIMF_V1
SILVER EVENING SATURDAY,[@4.0.6326071@][1597517274838]/48__SV1UISA_V1
RUBY SATURDAY,[@15.0.64657075@][1339528341508]/54__RUB1_SA
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/69__T2UISU
SILVER EVENING SATURDAY,[@4.0.6326071@][1597517274838]/54__SV2UISA_V1
ORANGEHOPPER,[@14.0.52435578@][4][1275670882890]/15__O4_MF
ILLINI,[@4.0.6310080@][1597516121254]/12__I5_UIMF_V1
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/89__GN2SU
NAVY,[@124.0.103534744@][32][1510344867429]/12__N1_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/29__T1NON_UI_SA
YELLOWHOPPER,[@15.0.63189099@][2][1334168821073]/69__Y4_MF
TEAL EVENING,[@4.0.6083631@][1597347546580]/29__T1_NONUIMF_V1
YELLOW,[@4.0.5891782@][1597169066281]/3__Y1UIMF_V1
RUBY,[@15.0.64600293@][2][1339519176813]/4__RUB1_MF
YELLOW,[@4.0.5891782@][1597169066281]/29__Y5_MF_V1
ILLINI EVENING,[@4.0.6329571@][1597517389214]/46__I8_UIMF_V1
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/35__Y4SU_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/29__GN3_SU_V1
SILVER LIMITED EVENING SATURDAY,[@124.0.92350475@][1484580809807]/60__SV1_NON_UI_SA
BROWN,[@15.0.61662606@][10][1329151583738]/3__BA2_NOSCHMF
YELLOW,[@4.0.5891782@][1597169066281]/25__Y5_MF_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/32__Y2_MF_V1
GREENHOPPER EVENING SATURDAY,[@7.0.42019048@][1245177724421]/7__GN1SA
GREENHOPPER EVENING SATURDAY,[@4.0.6000297@][1597257796601]/13__GR4SA_V1
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/11__I1_NON_UI_SU
LAVENDER ALT,[@2.0.84876422@][1455575336053]/9__3N_/_5E_SHOW_SCH
SILVER,[@12.0.42199629@][4][1246896833000]/82__SV3_UIMF
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/34__SV1UISU_V1
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/13__T1UISU
YELLOWHOPPER,[@15.0.63189099@][2][1334168821073]/71__Y7_NON_UI_MF
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/21__SV1UISU
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/76__SV1UISA
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/83__I1UI_SU
TEAL EVENING SATURDAY,[@4.0.6089173@][1597348089342]/8__T2UISA_V1
SILVER,[@4.0.6090318@][1597351255773]/21__SV3_UIMF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/33__T1UISA
TEAL,[@7.0.41893871@][4][1243540851671]/33__T1_NONUIMF
YELLOW SATURDAY,[@15.0.63192124@][2][1338469240094]/22__Y4SA
YELLOWHOPPER,[@15.0.63189099@][1][1334167843695]/5__Y1_NON_UI_MF
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/6__GN4_SU_V1
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/0__T2NON_UI_SA
GREEN LATE NIGHT SATURDAY,[@4.0.6007125@][1597257941128]/14__GN3UISA_V1
SILVER,[@4.0.6090318@][1597351255773]/11__SV1_UIMF_V1
ORANGE,[@2.0.86175868@][1458585713139]/14__O4_MF
RED,[@14.0.56288404@][1][1302721117462]/12__R1_MF
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/44__T2_NONUI_SU_V1
GREENHOPPER,[@4.0.5978260@][1597257417676]/16__GNX2_MF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/70__SV1_NONUISU
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/26__SV1UISU
RED,[@14.0.56288404@][1][1302720941921]/11__R5_MF
GREEN LATE NIGHT,[@4.0.5999415@][1597257738595]/13__GR3_UIMF_V1
GREY SUNDAY,[@2.0.85633657@][32][1463431982715]/1__GR3_NON_UI_SU_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/37__Y4SA_V1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/36__I3UISU
LAVENDER,[@15.0.63192662@][1][1334088379665]/17__L1_NOSCHMF
RUBY SATURDAY,[@15.0.64657075@][1339528341508]/59__RUB1_SA
SILVER SATURDAY,[@12.0.44184681@][1250945403296]/64__SV1UISA
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/54__Y3SU
GREENHOPPER,[@7.0.41101146@][4][1237930167062]/26__GNX2_MF
YELLOW EVENING,[@4.0.5867728@][1597168420258]/5__Y1_NON_UI_MF_V1
ILLINI,[@7.0.41200832@][2][1238430887312]/179__I5_UIMF
GREEN LATE NIGHT SUNDAY,[@4.0.6007981@][1597257987583]/24__GR3_UISU_V1
GREENHOPPER,[@4.0.5978260@][1597257417676]/9__GNX4_MF_V1
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/16__SV2UISA
GREEN EXPRESS,[@4.0.6008825@][1597258042989]/22__GNX2_MF_V1
LAVENDER,[@15.0.63192662@][1][1334086739712]/0__L1_NOSCHMF
TEAL,[@7.0.41893871@][3][1243541396687]/80__T1_UIMF
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/5__GN3_SU
PINK,[@2.0.81838518@][11][1430160303820]/4__P1_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/9__T1UISA
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/67__Y2_MF_V1
GREEN,[@4.0.5960707@][1597257255963]/42__GN3_MF_V1
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/11__I6UISA_V1
BRONZE,[@7.0.41201636@][4][1248385296531]/1__T3_NONUIMF
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/82__SV1_NONUISU
YELLOW,[@4.0.5891782@][1597169066281]/76__Y1_NON_UI_MF_V1
ORANGEHOPPER,[@15.0.68513410@][3][1368193229378]/3__O3_MF
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/9__I1UI_SU_V1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/186__I6UISU
SILVER,[@4.0.6090318@][1597351255773]/95__SV5_UIMF_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/31__Y4_MF_V1
YELLOW,[@4.0.5891782@][1597169066281]/90__R5_MF_V1
LIME SUNDAY,[@124.0.94415718@][11][1496266203663]/4__LM1SU
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/25__T1UISA_V1
TEAL,[@7.0.41893871@][4][1243540851671]/17__T1_NONUIMF
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/47__GR3_UISU
BROWN,[@2.0.80548152@][12][1425572286750]/19__BB1_MF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/4__Y2_MF_V1
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/4__GN2UISA
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/29__I1_NON_UI_SU
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/15__T1_NONUI_SU
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/18__T1_NONUIMF
LIME SATURDAY,[@124.0.94415201@][11][1496415327969]/14__LM1SA
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/147__T1UISA
YELLOW EVENING,[@4.0.5867728@][1597168420258]/11__Y6_NOSCHMF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/133__T2NON_UI_SA
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/42__SV2UISU_V1
GOLDHOPPER,[@7.0.41987615@][3][1246633033359]/39__G5_MF
BRONZE,[@14.0.51709163@][3][1275598033265]/0__BZ1_NOSCHMF
SILVER,[@12.0.42199629@][3][1246896590515]/56__SV2_NONUIMF
ILLINI LIMITED,[@4.0.6331833@][1597517469643]/43__I1_NONUIMF_V1
GREY EVENING SATURDAY,[@124.0.92319406@][1484577670364]/36__GN4SA_V1
GOLD,[@2.0.85633009@][32][1458306267754]/0__G1_MF
GREEN,8GN503__GN7_MF
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/141__SV2UISU
ORANGE,[@2.0.86175868@][1458585713139]/65__O4_MF
YELLOWHOPPER,[@15.0.63189099@][1][1334167918228]/17__Y2_MF
ILLINI,[@4.0.6310080@][1597516121254]/152__I4_UIMF_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/66__T1_NONUI_SU
SILVER LIMITED SATURDAY,[@15.0.67916770@][2][1363721664566]/27__SV1_NON_UI_SA
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/11__GN1_SU_V1
RED,[@4.0.5898288@][1597169152898]/60__R2_MF_V1
SILVER,[@4.0.6090318@][1597351255773]/47__SV5_UIMF_V1
GREEN EVENING SATURDAY,[@4.0.5983687@][1597257498706]/4__GR2SA_V1
LIME EVENING,[@124.0.94416751@][12][1496264832666]/5__LM2_MF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/177__I1UISA
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/4__GR3_NON_UI_SU_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/29__GN3_SU
GREEN,5GN571__GN5_MF
GOLDHOPPER,[@14.0.56289113@][3][1303767339853]/8__G1_MF
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/51__T2UISU
ILLINI EVENING,[@7.0.41950648@][1244056065453]/89__I5_UIMF
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/68__SV1_NONUISU
GREY,[@2.0.80545657@][32][1425489662101]/44__GR3_NON_UI_MF
