route_id,trip_id
GREEN EVENING,[@4.0.5972609@][1597257368084]/18__GNX5_MF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/161__T1NON_UI_SA
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/106__SV1UISA
ORANGE,[@2.0.86175868@][1458585713139]/59__O4_MF
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/17__I1UISA_V1
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/16__GR3_UISU_V1
TEAL,[@7.0.41893871@][3][1243541488843]/131__T3_UIMF
YELLOW EVENING SATURDAY,[@124.0.92247832@][1484327725398]/28__Y4SA
SILVER,[@4.0.6090318@][1597351255773]/114__SV3_UIMF_V1
YELLOW,[@14.0.56288722@][2][1303763634065]/26__Y7_UIMF
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/26__GN4_SU_V1
GREENHOPPER EVENING SATURDAY,[@4.0.6000297@][1597257796601]/16__GR2SA_V1
LAVENDER,[@15.0.63192662@][1][1334088165505]/15__L1_NOSCHMF
YELLOW SATURDAY,[@15.0.63192124@][2][1338469240094]/10__Y2UISA
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/53__T2_NONUI_SU
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/82__T2UISU
LAVENDER SATURDAY,[@15.0.63188981@][2][1334072041692]/25__L1SA
TEAL,[@4.0.6079335@][1597347351575]/29__T1_NONUIMF_V1
RED SATURDAY,20RED027__R2SA
GOLD,[@7.0.41203042@][4][1248902015375]/0__G2_MF
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/8__GR3_UISU
SILVER,[@12.0.42199629@][3][1246896590515]/51__SV3_UIMF
TEAL EVENING,[@4.0.6083631@][1597347546580]/15__T1_NONUIMF_V1
ILLINI,[@7.0.41200832@][2][1238430887312]/203__I5_UIMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/136__T2NON_UI_SA
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/5__Y2UISU
