stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
CRSTWDEDHFMN:2,MTD5367,Crestwood & Edward Hoffman (SE Corner),,40.12692,-88.300102,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crstwdedhfmn,0,
CCSJ:3,MTD1223,County Satellite Jail (West Side),,40.109058,-88.188785,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ccsj,0,
1STDAN:6,MTD4361,First & Daniel (SE Far Side),,40.10787833,-88.23834667,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/1stdan,0,
BRAD:2,MTD4612,Bradley (North Side),,40.12765333,-88.29160333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brad,0,
ARYWRT:3,MTD4145,Armory & Wright (South Side),,40.10539333,-88.22901333,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/arywrt,0,
KBYSTE:3,MTD3263,Kirby & State (SW Corner),,40.09802667000001,-88.246865,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbyste,0,
ALPTMBLN:4,MTD3624,Alpine & Timberline (NW Corner),,40.12835833,-88.298525,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/alptmbln,0,
UNINEW:3,MTD4606,University & New (SW Corner),,40.116255,-88.25438333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/uninew,0,
4THBIELFELDT:1,MTD8013,Fourth at Bielfeldt (West),,40.09611300000001,-88.23363999999998,1,https://mtd.org/maps-and-schedules/bus-stops/info/4thbielfeldt-1/,0,
CATFN:1,MTD3398,Carle/Christie Clinics - Fields,,40.075018,-88.311584,1,https://mtd.org/maps-and-schedules/bus-stops/info/catfn-1/,0,
4THARY:2,MTD5576,Fourth & Armory (SE Corner),,40.10529167,-88.233395,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thary,0,
SSXWIND:3,MTD9105,Sussex & Windward (SW Corner),,40.07717514038086,-88.27088928222656,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ssxwind,0,
WDFLDCTS:4,MTD0173,Woodfield & Curtis (NW Corner),,40.069145,-88.25031667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdfldcts,0,
