service_id,date,exception_type
N1 MF,20201207,1
N1 MF,20201208,1
N1 MF,20201209,1
N1 MF,20201210,1
N1 MF,20201211,1
N1 MF,20201214,1
N1 MF,20201215,1
N1 MF,20201216,1
N1 MF,20201217,1
N1 MF,20201218,1
BB1 MF,20201116,1
BB1 MF,20201117,1
BB1 MF,20201118,1
BB1 MF,20201119,1
BB1 MF,20201120,1
BB1 MF,20201123,1
BB1 MF,20201124,1
BB1 MF,20201125,1
BB1 MF,20201127,1
BB1 MF,20201130,1
BB1 MF,20201201,1
BB1 MF,20201202,1
BB1 MF,20201203,1
BB1 MF,20201204,1
BB1 MF,20201207,1
BB1 MF,20201208,1
BB1 MF,20201209,1
BB1 MF,20201210,1
BB1 MF,20201211,1
BB1 MF,20201214,1
BB1 MF,20201215,1
BB1 MF,20201216,1
BB1 MF,20201217,1
BB1 MF,20201218,1
1N SHOW SCH,20200824,1
1N SHOW SCH,20200825,1
1N SHOW SCH,20200827,1
1N SHOW SCH,20200828,1
1N SHOW SCH,20200831,1
1N SHOW SCH,20200901,1
1N SHOW SCH,20200903,1
1N SHOW SCH,20200904,1
1N SHOW SCH,20200908,1
1N SHOW SCH,20200910,1
1N SHOW SCH,20200911,1
1N SHOW SCH,20200914,1
1N SHOW SCH,20200915,1
1N SHOW SCH,20200917,1
1N SHOW SCH,20200918,1
1N SHOW SCH,20200921,1
1N SHOW SCH,20200922,1
1N SHOW SCH,20200924,1
1N SHOW SCH,20200925,1
1N SHOW SCH,20200928,1
1N SHOW SCH,20200929,1
1N SHOW SCH,20201001,1
1N SHOW SCH,20201002,1
1N SHOW SCH,20201005,1
1N SHOW SCH,20201006,1
1N SHOW SCH,20201008,1
1N SHOW SCH,20201009,1
1N SHOW SCH,20201012,1
1N SHOW SCH,20201013,1
1N SHOW SCH,20201015,1
1N SHOW SCH,20201016,1
1N SHOW SCH,20201019,1
1N SHOW SCH,20201020,1
1N SHOW SCH,20201022,1
1N SHOW SCH,20201023,1
1N SHOW SCH,20201026,1
1N SHOW SCH,20201027,1
1N SHOW SCH,20201029,1
1N SHOW SCH,20201030,1
1N SHOW SCH,20201102,1
1N SHOW SCH,20201103,1
1N SHOW SCH,20201105,1
1N SHOW SCH,20201106,1
1N SHOW SCH,20201109,1
1N SHOW SCH,20201110,1
1N SHOW SCH,20201112,1
1N SHOW SCH,20201113,1
1N SHOW SCH,20201116,1
1N SHOW SCH,20201117,1
1N SHOW SCH,20201119,1
1N SHOW SCH,20201120,1
1N SHOW SCH,20201123,1
1N SHOW SCH,20201124,1
1N SHOW SCH,20201130,1
1N SHOW SCH,20201201,1
1N SHOW SCH,20201203,1
1N SHOW SCH,20201204,1
1N SHOW SCH,20201207,1
1N SHOW SCH,20201208,1
1N SHOW SCH,20201210,1
1N SHOW SCH,20201211,1
1N SHOW SCH,20201214,1
1N SHOW SCH,20201215,1
1N SHOW SCH,20201217,1
1N SHOW SCH,20201218,1
Y2UISU,20201115,1
T4 UIMF,20201116,1
T4 UIMF,20201117,1
T4 UIMF,20201118,1
T4 UIMF,20201119,1
T4 UIMF,20201120,1
P2 NOSCHMF,20200817,1
P2 NOSCHMF,20200818,1
P2 NOSCHMF,20200819,1
P2 NOSCHMF,20200820,1
P2 NOSCHMF,20200821,1
P2 NOSCHMF,20200824,1
P2 NOSCHMF,20200825,1
P2 NOSCHMF,20200826,1
P2 NOSCHMF,20200827,1
P2 NOSCHMF,20200828,1
P2 NOSCHMF,20200831,1
P2 NOSCHMF,20200901,1
P2 NOSCHMF,20200902,1
P2 NOSCHMF,20200903,1
P2 NOSCHMF,20200904,1
P2 NOSCHMF,20200908,1
P2 NOSCHMF,20200909,1
P2 NOSCHMF,20200910,1
P2 NOSCHMF,20200911,1
P2 NOSCHMF,20200914,1
P2 NOSCHMF,20200915,1
P2 NOSCHMF,20200916,1
P2 NOSCHMF,20200917,1
P2 NOSCHMF,20200918,1
P2 NOSCHMF,20200921,1
P2 NOSCHMF,20200922,1
P2 NOSCHMF,20200923,1
P2 NOSCHMF,20200924,1
P2 NOSCHMF,20200925,1
P2 NOSCHMF,20200928,1
P2 NOSCHMF,20200929,1
P2 NOSCHMF,20200930,1
P2 NOSCHMF,20201001,1
P2 NOSCHMF,20201002,1
P2 NOSCHMF,20201005,1
P2 NOSCHMF,20201006,1
P2 NOSCHMF,20201007,1
P2 NOSCHMF,20201008,1
P2 NOSCHMF,20201009,1
P2 NOSCHMF,20201012,1
P2 NOSCHMF,20201013,1
P2 NOSCHMF,20201014,1
P2 NOSCHMF,20201015,1
P2 NOSCHMF,20201016,1
P2 NOSCHMF,20201019,1
P2 NOSCHMF,20201020,1
P2 NOSCHMF,20201021,1
P2 NOSCHMF,20201022,1
P2 NOSCHMF,20201023,1
P2 NOSCHMF,20201026,1
P2 NOSCHMF,20201027,1
P2 NOSCHMF,20201028,1
P2 NOSCHMF,20201029,1
P2 NOSCHMF,20201030,1
P2 NOSCHMF,20201102,1
P2 NOSCHMF,20201103,1
P2 NOSCHMF,20201104,1
P2 NOSCHMF,20201105,1
P2 NOSCHMF,20201106,1
P2 NOSCHMF,20201109,1
P2 NOSCHMF,20201110,1
P2 NOSCHMF,20201111,1
P2 NOSCHMF,20201112,1
P2 NOSCHMF,20201113,1
P2 NOSCHMF,20201116,1
P2 NOSCHMF,20201117,1
P2 NOSCHMF,20201118,1
P2 NOSCHMF,20201119,1
P2 NOSCHMF,20201120,1
P2 NOSCHMF,20201123,1
P2 NOSCHMF,20201124,1
P2 NOSCHMF,20201125,1
P2 NOSCHMF,20201127,1
P2 NOSCHMF,20201130,1
P2 NOSCHMF,20201201,1
P2 NOSCHMF,20201202,1
P2 NOSCHMF,20201203,1
P2 NOSCHMF,20201204,1
P2 NOSCHMF,20201207,1
P2 NOSCHMF,20201208,1
P2 NOSCHMF,20201209,1
P2 NOSCHMF,20201210,1
P2 NOSCHMF,20201211,1
P2 NOSCHMF,20201214,1
P2 NOSCHMF,20201215,1
P2 NOSCHMF,20201216,1
P2 NOSCHMF,20201217,1
P2 NOSCHMF,20201218,1
GNX4 MF V1,20200817,1
GNX4 MF V1,20200818,1
GNX4 MF V1,20200819,1
GNX4 MF V1,20200820,1
GNX4 MF V1,20200821,1
GNX4 MF V1,20200824,1
GNX4 MF V1,20200825,1
GNX4 MF V1,20200826,1
GNX4 MF V1,20200827,1
GNX4 MF V1,20200828,1
GNX4 MF V1,20200831,1
GNX4 MF V1,20200901,1
GNX4 MF V1,20200902,1
GNX4 MF V1,20200903,1
GNX4 MF V1,20200904,1
GNX4 MF V1,20200908,1
GNX4 MF V1,20200909,1
GNX4 MF V1,20200910,1
GNX4 MF V1,20200911,1
GNX4 MF V1,20200914,1
GNX4 MF V1,20200915,1
GNX4 MF V1,20200916,1
GNX4 MF V1,20200917,1
GNX4 MF V1,20200918,1
GNX4 MF V1,20200921,1
GNX4 MF V1,20200922,1
GNX4 MF V1,20200923,1
GNX4 MF V1,20200924,1
GNX4 MF V1,20200925,1
GNX4 MF V1,20200928,1
GNX4 MF V1,20200929,1
GNX4 MF V1,20200930,1
GNX4 MF V1,20201001,1
GNX4 MF V1,20201002,1
GNX4 MF V1,20201005,1
GNX4 MF V1,20201006,1
GNX4 MF V1,20201007,1
GNX4 MF V1,20201008,1
GNX4 MF V1,20201009,1
GNX4 MF V1,20201012,1
GNX4 MF V1,20201013,1
GNX4 MF V1,20201014,1
GNX4 MF V1,20201015,1
GNX4 MF V1,20201016,1
GNX4 MF V1,20201019,1
GNX4 MF V1,20201020,1
