service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Y5 NONUI SU V1,0,0,0,0,0,0,0,20200816,20201219
B4 SCH,0,0,0,0,0,0,0,20200816,20201219
Y5 NONUI SU,0,0,0,0,0,0,0,20200816,20201219
GR3 UISU,0,0,0,0,0,0,0,20200816,20201219
7W / 5E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
I1UISA V1,0,0,0,0,0,0,0,20200816,20201219
T2 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
GN2 MF V1,0,0,0,0,0,0,0,20200816,20201219
GR4 SU V1,0,0,0,0,0,0,0,20200816,20201219
LM2SA V1,0,0,0,0,0,0,0,20200816,20201219
SV2UISA,0,0,0,0,0,0,0,20200816,20201219
SV2UISU,0,0,0,0,0,0,0,20200816,20201219
GN5 MF,0,0,0,0,0,0,0,20200816,20201219
SV1 NONUISU,0,0,0,0,0,0,0,20200816,20201219
GN2SU V1,0,0,0,0,0,0,0,20200816,20201219
T2 NONUI SU,0,0,0,0,0,0,0,20200816,20201219
Y3SU V1,0,0,0,0,0,0,0,20200816,20201219
O3 MF,0,0,0,0,0,0,0,20200816,20201219
GNX1 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
T4 UIMF,0,0,0,0,0,0,0,20200816,20201219
GN5SA V1,0,0,0,0,0,0,0,20200816,20201219
G5 MF,0,0,0,0,0,0,0,20200816,20201219
G2 MF,0,0,0,0,0,0,0,20200816,20201219
T2NON UI SA,0,0,0,0,0,0,0,20200816,20201219
3N / 7E / 7E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
Y1 NON UI MF V1,0,0,0,0,0,0,0,20200816,20201219
Y3UIMF,0,0,0,0,0,0,0,20200816,20201219
GR2SA,0,0,0,0,0,0,0,20200816,20201219
Y1UIMF,0,0,0,0,0,0,0,20200816,20201219
7E/5E SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
GR5SA,0,0,0,0,0,0,0,20200816,20201219
SV1 NON UI SA,0,0,0,0,0,0,0,20200816,20201219
GR2 SU,0,0,0,0,0,0,0,20200816,20201219
Y5NON UI SA,0,0,0,0,0,0,0,20200816,20201219
L1SA,0,0,0,0,0,0,0,20200816,20201219
GN8 MF V1,0,0,0,0,0,0,0,20200816,20201219
16B#1 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
I1UI SU V1,0,0,0,0,0,0,0,20200816,20201219
5W #1 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
